대전광역시 -> 경상남도 : 1715번
인천광역시 -> 광주광역시 : 1217번
강원도 -> 세종특별자치시 : 595번
충청북도 -> 경상북도 : 3310번
대전광역시 -> 세종특별자치시 : 8373번
경기도 -> 대전광역시 : 10599번
전라북도 -> 울산광역시 : 468번
충청북도 -> 울산광역시 : 593번
강원도 -> 울산광역시 : 598번
서울특별시 -> 전라남도 : 9596번
전라북도 -> 전라남도 : 4278번
전라남도 -> 인천광역시 : 2799번
부산광역시 -> 강원도 : 1759번
울산광역시 -> 광주광역시 : 307번
세종특별자치시 -> 충청북도 : 2973번
강원도 -> 경기도 : 22899번
광주광역시 -> 경기도 : 8586번
울산광역시 -> 강원도 : 814번
충청북도 -> 대전광역시 : 7419번
강원도 -> 대전광역시 : 1828번
전라북도 -> 강원도 : 1118번
전라북도 -> 대전광역시 : 3726번
대전광역시 -> 강원도 : 1628번
충청남도 -> 울산광역시 : 836번
세종특별자치시 -> 강원도 : 444번
전라남도 -> 대구광역시 : 735번
전라남도 -> 충청북도 : 1273번
서울특별시 -> 대전광역시 : 9650번
대전광역시 -> 경상북도 : 2453번
충청북도 -> 전라북도 : 1586번
대구광역시 -> 광주광역시 : 546번
충청남도 -> 제주특별자치도 : 858번
강원도 -> 제주특별자치도 : 636번
세종특별자치시 -> 충청남도 : 3843번
부산광역시 -> 경상남도 : 40113번
강원도 -> 광주광역시 : 585번
충청남도 -> 대전광역시 : 12593번
충청북도 -> 광주광역시 : 713번
인천광역시 -> 충청남도 : 6699번
전라남도 -> 경상남도 : 3113번
강원도 -> 경상남도 : 1682번
제주특별자치도 -> 부산광역시 : 1964번
경상북도 -> 서울특별시 : 14546번
경상남도 -> 경상북도 : 8298번
충청북도 -> 경상남도 : 1508번
인천광역시 -> 전라남도 : 2574번
세종특별자치시 -> 인천광역시 : 604번
대전광역시 -> 제주특별자치도 : 670번
울산광역시 -> 울산광역시 : 84552번
강원도 -> 충청북도 : 3649번
세종특별자치시 -> 서울특별시 : 3746번
전라남도 -> 제주특별자치도 : 944번
강원도 -> 전라북도 : 1016번
전라남도 -> 경기도 : 12694번
